operation_id,book_id,client_id,created_at,`type`,finished
1,147,304,2015-08-04,L,0
2,229,394,2015-10-09,R,1
3,147,173,2016-01-18,L,0
4,10,415,2016-11-17,R,1
5,110,106,2015-02-25,L,0
6,52,176,2016-05-13,L,0
7,87,118,2016-02-07,R,1
8,195,20,2015-04-03,R,1
9,250,86,2015-09-26,L,0
10,151,78,2016-12-02,R,1
11,57,129,2016-05-17,L,0
12,28,137,2016-05-16,L,0
13,124,6,2015-04-24,R,1
14,116,61,2016-02-28,R,1
15,241,351,2016-05-11,R,1
16,285,31,2016-04-07,R,1
17,201,489,2016-05-21,R,1
18,187,48,2015-05-03,R,1
19,214,212,2016-05-06,S,1
20,6,454,2015-08-06,R,1
21,280,176,2016-10-18,S,1
22,1,339,2015-11-03,L,0
23,126,223,2016-01-14,R,1
24,74,168,2015-08-02,S,1
25,64,9,2016-10-17,S,1
26,176,391,2016-04-19,R,1
27,206,19,2016-11-23,S,1
28,281,74,2016-12-12,R,1
29,107,499,2016-06-27,L,0
30,36,450,2015-12-02,S,1
31,92,304,2015-04-23,R,1
32,214,252,2016-09-06,L,0
33,57,331,2015-09-07,R,1
34,184,91,2015-06-30,R,1
35,207,358,2015-08-14,R,1
36,70,184,2015-05-10,R,1
37,97,263,2016-09-12,L,0
38,39,61,2015-03-19,R,1
39,73,335,2015-02-14,S,1
40,77,158,2016-09-09,L,0
41,239,273,2015-05-11,R,1
42,29,63,2016-02-10,S,1
43,167,366,2015-04-11,L,0
44,267,111,2016-03-13,L,0
45,249,320,2016-10-31,L,0
46,65,31,2016-10-04,L,0
47,18,272,2015-05-15,S,1
48,135,286,2015-09-15,L,0
49,49,51,2015-03-19,S,1
50,233,11,2015-10-06,R,1
51,8,482,2016-06-19,S,1
52,40,123,2015-05-21,R,1
53,225,425,2016-04-03,S,1
54,293,14,2015-11-04,R,1
55,218,23,2015-02-24,L,0
56,177,61,2016-02-12,R,1
57,94,347,2015-05-21,L,0
58,108,356,2015-12-09,R,1
59,228,41,2015-05-17,R,1
60,46,165,2015-06-27,L,0
61,269,191,2016-02-22,L,0
62,122,428,2015-04-28,L,0
63,282,,2015-01-13,R,1
64,104,343,2016-09-29,L,0
65,184,207,2015-12-13,S,1
66,39,30,2016-11-16,S,1
67,170,346,2016-06-09,S,1
68,178,427,2015-09-14,S,1
69,152,138,2015-02-23,L,0
70,110,226,2015-07-04,R,1
71,73,389,2016-10-17,L,0
72,36,303,2015-08-30,L,0
73,50,325,2016-10-16,R,1
74,195,296,2016-09-16,S,1
75,268,259,2016-08-19,L,0
76,185,85,2015-02-07,L,0
77,183,323,2015-10-05,S,1
78,282,443,2016-06-15,S,1
79,78,,2015-04-28,R,1
80,214,75,2016-09-11,S,1
81,139,313,2015-04-12,S,1
82,248,364,2016-03-02,L,0
83,163,27,2016-04-08,S,1
84,7,241,2015-12-15,S,1
85,59,132,2016-08-11,S,1
86,35,357,2016-06-10,S,1
87,13,199,2016-09-12,R,1
88,203,283,2015-09-13,L,0
89,281,148,2015-02-09,L,0
90,41,23,2015-01-28,S,1
91,44,315,2016-08-10,R,1
92,63,34,2016-02-23,S,1
93,209,247,2015-01-30,L,0
94,145,109,2016-08-11,S,1
95,99,168,2015-09-18,S,1
96,101,365,2016-02-15,S,1
97,158,178,2016-09-27,R,1
98,202,250,2016-03-06,S,1
99,259,203,2016-03-27,L,0
100,195,351,2016-12-19,S,1
101,40,42,2015-11-27,L,0
102,218,458,2015-09-16,R,1
103,278,474,2016-01-01,R,1
104,20,234,2015-04-08,L,0
105,61,395,2016-12-05,S,1
106,169,5,2016-05-23,R,1
107,248,376,2016-10-09,R,1
108,164,387,2016-03-12,R,1
109,183,419,2016-05-22,R,1
110,141,348,2016-08-02,S,1
111,109,116,2015-06-27,R,1
112,33,91,2015-07-08,L,0
113,137,49,2016-03-28,S,1
114,140,124,2016-12-11,R,1
115,98,102,2016-03-23,S,1
116,78,363,2015-04-02,S,1
117,267,388,2016-08-11,L,0
118,113,62,2016-10-03,S,1
119,237,168,2015-11-28,R,1
120,290,326,2016-04-15,R,1
121,177,321,2015-03-31,R,1
122,245,232,2016-04-24,L,0
123,205,36,2015-06-26,S,1
124,254,252,2015-03-22,L,0
125,243,499,2015-07-08,R,1
126,25,328,2016-12-03,R,1
127,31,38,2015-06-24,R,1
128,132,268,2016-03-22,S,1
129,267,29,2016-12-10,S,1
130,43,178,2016-05-06,S,1
131,51,364,2015-11-25,R,1
132,203,466,2016-01-29,R,1
133,166,31,2016-03-12,L,0
134,212,151,2016-09-13,S,1
135,287,458,2015-10-26,R,1
136,223,50,2015-03-12,L,0
137,55,192,2015-03-03,S,1
138,65,240,2016-01-08,R,1
139,267,316,2016-10-07,S,1
140,72,443,2015-02-23,S,1
141,132,419,2015-12-19,L,0
142,241,24,2015-05-08,S,1
143,208,426,2016-10-07,S,1
144,83,417,2015-06-18,L,0
145,52,148,2015-03-06,R,1
146,170,467,2015-03-01,R,1
147,146,269,2015-05-16,R,1
148,50,194,2016-10-25,R,1
149,130,430,2015-01-07,L,0
150,151,,2015-06-05,S,1
151,23,246,2016-02-28,S,1
152,131,205,2015-10-22,R,1
153,176,337,2015-08-22,S,1
154,103,312,2016-10-23,S,1
155,276,445,2015-11-08,L,0
156,157,266,2016-07-01,S,1
157,199,102,2016-05-06,S,1
158,147,461,2016-01-25,S,1
159,273,498,2016-03-13,S,1
160,197,86,2015-12-28,S,1
161,196,391,2016-10-26,S,1
162,205,,2015-05-19,L,0
163,274,18,2015-02-27,R,1
164,99,136,2016-07-21,S,1
165,267,96,2016-12-22,S,1
166,21,292,2015-07-26,R,1
167,249,362,2015-02-10,L,0
168,67,431,2016-01-31,R,1
169,132,107,2015-03-10,R,1
170,230,177,2015-12-23,R,1
171,18,380,2015-01-06,R,1
172,216,186,2016-04-02,L,0
173,245,405,2015-04-23,R,1
174,249,387,2016-09-18,R,1
175,268,199,2015-01-26,L,0
176,172,408,2016-08-31,L,0
177,116,366,2016-06-07,R,1
178,121,348,2015-07-03,S,1
179,163,412,2016-12-21,S,1
180,117,4,2016-10-16,L,0
181,193,305,2015-05-23,S,1
182,134,69,2015-07-12,S,1
183,187,78,2015-05-23,S,1
184,245,27,2015-12-12,L,0
185,185,231,2016-11-16,L,0
186,47,307,2016-04-15,R,1
187,35,238,2016-09-22,R,1
188,278,67,2015-09-15,R,1
189,276,164,2016-03-17,R,1
190,294,277,2015-10-07,R,1
191,181,418,2015-06-23,S,1
192,22,186,2016-02-17,L,0
193,121,23,2015-12-04,L,0
194,202,117,2016-07-10,L,0
195,172,39,2016-10-21,R,1
196,80,90,2016-07-22,L,0
197,269,,2016-06-11,S,1
198,112,34,2015-10-14,S,1
199,232,152,2016-07-07,R,1
200,230,253,2015-03-30,R,1
201,101,153,2015-07-18,S,1
202,34,151,2015-01-11,R,1
203,74,110,2015-05-25,R,1
204,140,97,2015-02-17,R,1
205,30,213,2016-07-13,L,0
206,289,162,2016-10-09,L,0
207,275,419,2016-03-13,L,0
208,61,284,2015-11-25,R,1
209,110,458,2016-08-11,R,1
210,88,107,2015-06-25,S,1
211,90,439,2015-07-28,L,0
212,290,418,2016-12-07,S,1
213,98,297,2016-08-25,S,1
214,58,214,2015-03-28,L,0
215,19,,2015-05-17,S,1
216,181,483,2016-06-08,L,0
217,34,308,2015-04-09,S,1
218,65,89,2016-03-13,S,1
219,213,92,2015-05-01,R,1
220,221,265,2015-04-30,S,1
221,173,14,2015-11-25,R,1
222,249,12,2016-10-27,L,0
223,133,139,2016-02-21,L,0
224,229,154,2016-02-14,L,0
225,65,483,2015-07-26,R,1
226,102,166,2016-08-29,L,0
227,141,298,2015-01-26,S,1
228,31,216,2016-12-16,L,0
